stamp_sec,stamp_nsec,status,service,latitude,longitude
1744809688,0,1,1,25.75826072692871,-80.3735580444336
1744809689,0,1,1,25.75826072692871,-80.37356567382812
1744809690,0,1,1,25.75826072692871,-80.37357330322266
1744809691,0,1,1,25.75826072692871,-80.37358093261719
1744809692,0,1,1,25.758262634277344,-80.37358856201172
1744809693,0,1,1,25.758262634277344,-80.37359619140625
1744809695,0,1,1,25.758262634277344,-80.37361907958984
1744809696,0,1,1,25.758262634277344,-80.37362670898438
1744809697,0,1,1,25.758262634277344,-80.3736343383789
1744809698,0,1,1,25.758262634277344,-80.37364196777344
1744809699,0,1,1,25.758262634277344,-80.37364959716797
1744809700,0,1,1,25.758262634277344,-80.3736572265625
1744809702,0,1,1,25.758262634277344,-80.3736801147461
1744809703,0,1,1,25.758262634277344,-80.37368774414062
1744809704,0,1,1,25.758262634277344,-80.37369537353516
1744809705,0,1,1,25.758262634277344,-80.37370300292969
1744809706,0,1,1,25.758262634277344,-80.37371063232422
1744809708,0,1,1,25.758262634277344,-80.37372589111328
1744809709,0,1,1,25.758262634277344,-80.37374114990234
1744809710,0,1,1,25.758264541625977,-80.37374877929688
1744809711,0,1,1,25.758264541625977,-80.3737564086914
1744809712,0,1,1,25.758264541625977,-80.37376403808594
1744809713,0,1,1,25.758264541625977,-80.373779296875
1744809714,0,1,1,25.758264541625977,-80.37378692626953
1744809716,0,1,1,25.758264541625977,-80.3738021850586
1744809717,0,1,1,25.758264541625977,-80.37380981445312
1744809718,0,1,1,25.758264541625977,-80.37381744384766
1744809719,0,1,1,25.758264541625977,-80.37382507324219
1744809721,0,1,1,25.758264541625977,-80.37384033203125
1744809721,0,1,1,25.75826644897461,-80.37384796142578
1744809723,0,1,1,25.75826644897461,-80.37385559082031
1744809724,0,1,1,25.758268356323242,-80.37386322021484
1744809725,0,1,1,25.758270263671875,-80.37387084960938
1744809726,0,1,1,25.758270263671875,-80.37387084960938
1744809727,0,1,1,25.758270263671875,-80.3738784790039
1744809728,0,1,1,25.758268356323242,-80.37388610839844
1744809730,0,1,1,25.758264541625977,-80.37388610839844
1744809732,0,1,1,25.758258819580078,-80.37388610839844
1744809733,0,1,1,25.758256912231445,-80.37388610839844
