stamp_sec,stamp_nsec,current_id,relative_rad,feature_count
1744809852,831068665,192,0.0,0
1744809854,31966145,193,0.0,0
1744809854,934596737,194,0.0,0
1744809855,835655737,195,0.0,0
1744809857,34259561,196,0.0,0
1744809857,938000237,196,0.0,0
1744809860,36244133,197,0.0,0
1744809860,939268985,196,0.0,0
1744809861,840440377,196,0.0,0
1744809863,38598917,198,0.0,0
1744809863,941545901,198,0.0,0
1744809864,842697505,198,0.0,0
1744809866,942129365,198,0.0,0
1744809867,844672261,199,0.0,0
1744809869,43248953,199,0.0,0
1744809869,945643961,199,0.0,0
1744809870,844447285,198,0.0,0
1744809872,45433409,200,0.0,0
1744809873,848988229,200,0.0,0
1744809875,47726393,200,0.0,0
1744809875,949817561,200,0.0,0
1744809876,851971861,200,0.0,0
1744809878,50153957,201,0.0,0
1744809879,852791137,201,0.0,0
1744809881,52282409,201,0.0,0
1744809881,954176285,201,0.0,0
1744809882,853643749,202,0.0,0
1744809884,65213405,202,0.0,0
1744809884,957486041,203,0.0,0
1744809885,855864649,203,0.0,0
1744809887,57205841,204,0.0,0
1744809888,860796817,205,0.0,0
1744809890,960868493,205,0.0,0
1744809891,860648893,205,0.0,0
1744809893,61415909,205,0.0,0
1744809893,964428281,206,0.0,0
1744809894,865432873,206,0.0,0
1744809896,966566057,207,0.0,0
1744809897,864925537,207,0.0,0
1744809899,66305909,208,0.0,0
1744809899,966929429,209,0.0,0
1744809900,867133717,210,0.0,0
1744809902,68288045,211,0.0,0
1744809902,970769561,212,0.0,0
1744809905,70309577,213,0.0,0
1744809905,973346765,214,0.0,0
1744809906,873041461,215,0.0,0
1744809908,72768737,216,0.0,0
1744809908,975351317,217,0.0,0
1744809909,873815185,215,0.0,0
1744809911,74771549,218,0.0,0
1744809912,878705497,219,0.0,0
1744809913,778686333,217,0.0,0
1744809914,977600597,220,0.0,0
1744809915,879087349,220,0.0,0
1744809917,79384793,220,0.0,0
1744809918,880397797,221,0.0,0
1744809920,83895485,221,0.0,0
1744809921,885364837,221,0.0,0
1744809923,83584241,221,0.0,0
1744809923,987136313,221,0.0,0
1744809924,887774389,221,0.0,0
1744809926,987225821,222,0.0,0
1744809929,92565545,222,0.0,0
1744809929,92565545,222,0.0,0
1744809929,988289153,222,0.0,0
1744809930,891148477,222,0.0,0
1744809931,791599869,222,0.0,0
1744809933,891539521,222,0.0,0
1744809935,995213933,222,0.0,0
1744809936,896970913,223,0.0,0
1744809937,795204273,223,0.0,0
1744809938,995224757,223,0.0,0
1744809939,898802725,223,0.0,0
1744809941,998077133,224,0.0,0
1744809942,900289417,224,0.0,0
1744809943,801308493,224,0.0,0
1744809945,1858345,224,0.0,0
1744809945,902770441,224,0.0,0
1744809946,803002449,224,0.0,0
1744809948,903003073,225,0.0,0
1744809949,804538413,225,0.0,0
1744809951,5064745,226,0.0,0
1744809951,904870129,227,0.0,0
1744809952,806867949,228,0.0,0
1744809954,13217317,229,0.0,0
1744809955,808110141,230,0.0,0
1744809957,10972345,231,0.0,0
1744809957,911799445,225,0.0,0
1744809958,812430177,232,0.0,0
1744809960,10482325,233,0.0,0
1744809960,912938809,234,0.0,0
1744809963,12121969,235,0.0,0
1744809963,913345201,236,0.0,0
1744809964,814041297,237,0.0,0
1744809966,17139553,238,0.0,0
1744809966,915083761,239,0.0,0
1744809967,818692713,239,0.0,0
1744809969,16928677,239,0.0,0
